n_tokens,n_chars,n_lines,valid_chunk
277,942,20,True
223,801,25,True
274,982,20,True
271,980,21,True
281,1002,22,True
275,998,22,True
272,990,22,True
271,1009,22,True
265,995,22,True
260,985,22,True
254,983,22,True
254,985,21,True
57,162,5,False
260,966,17,True
270,1019,17,True
268,1016,17,True
261,1011,17,True
229,885,15,True
8,38,1,False
285,1010,23,True
279,983,24,True
287,1001,24,True
305,1021,25,True
289,995,25,True
298,1000,25,True
296,1003,25,True
299,1006,25,True
299,1021,26,True
288,1003,26,True
21,93,2,False
300,992,24,True
294,995,24,True
284,976,22,True
291,990,23,True
261,912,21,True
25,79,4,False
268,974,17,True
259,972,17,True
254,989,16,True
251,990,16,True
255,1019,17,True
246,994,16,True
255,1016,16,True
222,895,14,True
2,14,1,False
286,1016,19,True
279,959,18,True
279,1013,18,True
255,958,17,True
265,1020,18,True
256,994,18,True
269,1017,18,True
256,972,17,True
265,1017,18,True
251,1010,18,True
257,1010,18,True
255,986,18,True
262,961,17,True
277,1020,18,True
266,1003,18,True
264,986,17,True
268,1007,17,True
276,1002,17,True
275,980,17,True
282,1012,18,True
280,978,18,True
284,984,18,True
298,996,19,True
278,928,18,True
22,69,4,False
284,1002,23,True
280,1001,23,True
282,1009,23,True
277,981,23,True
276,981,23,True
281,1014,23,True
282,1015,23,True
277,1000,23,True
289,1010,24,True
287,989,24,True
285,1004,24,True
206,611,13,True
268,981,16,True
271,986,16,True
2,14,1,False
285,1018,17,True
269,965,17,True
272,976,18,True
289,1012,20,True
290,996,20,True
297,1017,21,True
288,989,21,True
317,1020,22,True
307,992,21,True
302,982,21,True
307,974,21,True
306,996,20,True
318,991,20,True
335,986,20,True
330,996,20,True
325,1018,21,True
327,995,22,True
317,1005,22,True
312,1012,23,True
284,1019,23,True
20,69,4,False
300,1018,26,True
285,1000,25,True
281,975,24,True
284,980,24,True
297,1020,24,True
279,978,22,True
281,985,22,True
281,1005,22,True
279,974,21,True
288,1001,22,True
291,1005,23,True
284,974,23,True
303,1019,24,True
298,1009,24,True
288,975,23,True
292,977,23,True
290,975,23,True
288,989,23,True
286,1002,23,True
266,966,22,True
275,1006,23,True
276,982,22,True
281,1021,22,True
266,977,21,True
24,91,4,False
269,984,18,True
265,995,18,True
258,969,18,True
265,996,18,True
264,999,18,True
248,963,16,True
260,997,17,True
265,977,17,True
265,988,17,True
279,1007,18,True
282,1011,18,True
275,1005,18,True
284,1016,19,True
284,1019,19,True
266,979,18,True
264,976,18,True
268,974,18,True
260,966,18,True
255,954,17,True
274,1016,18,True
268,958,17,True
263,955,17,True
260,964,17,True
126,486,12,False
281,1017,17,True
271,1015,17,True
272,1013,17,True
265,992,17,True
262,956,16,True
270,985,17,True
14,74,2,False
306,969,19,True
300,975,19,True
308,993,19,True
294,1009,18,True
287,955,18,True
305,1013,19,True
311,1001,19,True
307,978,19,True
306,998,19,True
308,990,19,True
315,963,18,True
329,1012,18,True
307,969,18,True
307,968,18,True
315,1020,18,True
292,991,17,True
299,1012,17,True
280,966,17,True
284,1009,18,True
284,997,18,True
289,1003,18,True
279,969,18,True
294,1020,19,True
284,971,19,True
292,994,19,True
302,1019,20,True
298,975,20,True
300,991,20,True
311,1004,20,True
308,1000,19,True
314,1017,20,True
309,1019,20,True
307,1015,20,True
298,1001,19,True
283,975,19,True
279,982,19,True
281,971,20,True
288,974,20,True
295,998,20,True
301,1007,20,True
291,1015,20,True
285,956,19,True
297,1014,19,True
278,962,17,True
286,1014,17,True
280,999,17,True
272,987,17,True
278,980,17,True
266,962,16,True
276,985,17,True
278,976,18,True
274,959,18,True
281,959,18,True
290,1000,18,True
305,1015,19,True
296,998,18,True
296,999,18,True
291,992,19,True
299,1019,19,True
291,993,18,True
280,988,18,True
281,991,18,True
268,990,17,True
271,972,17,True
284,1006,17,True
