n_tokens,n_chars,n_lines,valid_chunk
449,1593,37,True
298,1114,24,True
175,616,14,True
229,899,18,True
177,646,15,True
186,636,13,True
164,627,13,True
175,642,13,True
176,624,15,True
168,612,13,True
185,644,15,True
177,614,14,True
189,634,15,True
184,654,15,True
188,641,15,True
170,606,15,True
184,616,15,True
180,677,18,True
453,1770,34,True
187,638,17,True
185,612,9,True
171,652,11,True
190,625,13,True
197,628,12,True
209,744,15,True
128,660,12,True
167,602,14,True
158,635,13,True
176,646,15,True
168,602,13,True
183,638,14,True
162,601,14,True
169,623,14,True
176,647,13,True
176,625,13,True
172,638,13,True
168,628,13,True
164,634,14,True
164,614,14,True
180,624,14,True
154,622,14,True
156,604,12,True
308,1192,27,True
154,642,13,True
159,615,13,True
204,657,15,True
164,628,14,True
164,619,14,True
169,643,14,True
166,647,14,True
156,611,12,True
184,651,14,True
175,628,14,True
170,641,14,True
164,619,14,True
179,640,15,True
177,630,14,True
174,633,13,True
165,627,14,True
165,606,13,True
211,794,18,True
172,666,16,True
427,1499,32,True
259,970,21,True
204,683,13,True
359,1271,26,True
304,1083,25,True
144,614,15,True
169,623,13,True
158,611,13,True
164,650,15,True
169,614,13,True
166,631,14,True
171,624,14,True
121,638,10,False
154,608,11,True
173,602,16,True
168,631,13,True
181,652,10,True
169,633,14,True
169,626,14,True
172,641,14,True
155,623,13,True
167,602,15,True
150,603,13,True
161,615,13,True
170,609,13,True
172,604,13,True
170,638,14,True
161,611,13,True
164,641,14,True
166,624,15,True
166,613,13,True
153,625,14,True
166,604,13,True
150,612,12,True
162,631,14,True
165,615,13,True
162,616,13,True
173,654,14,True
182,635,13,True
181,628,14,True
161,611,14,True
174,631,13,True
171,611,14,True
180,624,13,True
184,647,13,True
162,632,11,True
162,629,10,True
155,633,11,True
179,614,12,True
186,604,10,True
197,745,13,True
310,1129,25,True
426,1562,29,True
204,730,19,True
201,644,13,True
183,604,15,True
186,631,12,True
184,614,14,True
494,1739,38,True
154,617,12,True
122,609,12,False
169,612,14,True
171,603,13,True
179,630,15,True
192,617,13,True
190,611,14,True
167,609,14,True
171,636,14,True
174,646,13,True
163,618,12,True
152,622,12,True
159,618,13,True
163,636,14,True
336,1248,25,True
463,1767,36,True
191,712,13,True
323,1190,18,True
143,633,15,True
148,608,14,True
158,601,13,True
166,627,14,True
170,634,14,True
163,642,14,True
161,602,14,True
155,613,14,True
169,638,13,True
170,617,14,True
172,620,13,True
159,617,12,True
161,626,14,True
172,642,14,True
166,644,13,True
173,635,14,True
165,602,13,True
178,619,14,True
164,607,13,True
164,605,11,True
184,620,15,True
177,614,12,True
182,635,14,True
169,601,12,True
186,643,13,True
173,662,13,True
223,927,20,True
168,638,13,True
166,621,13,True
158,648,14,True
168,638,14,True
158,605,13,True
171,618,16,True
156,630,13,True
176,622,13,True
163,608,13,True
154,652,13,True
160,611,14,True
164,616,12,True
163,640,16,True
153,626,15,True
167,621,13,True
160,605,13,True
172,616,13,True
185,636,13,True
156,607,14,True
168,639,14,True
157,618,14,True
169,620,13,True
167,601,13,True
161,620,13,True
169,635,13,True
167,630,13,True
162,606,13,True
170,650,14,True
157,610,13,True
321,1204,25,True
427,1479,27,True
156,619,14,True
202,681,12,True
205,728,15,True
216,684,13,True
199,708,16,True
163,627,12,True
182,616,11,True
180,621,15,True
173,620,12,True
176,630,13,True
156,601,11,True
170,616,14,True
182,617,14,True
183,655,13,True
183,641,12,True
485,1797,37,True
188,698,14,True
164,615,16,True
181,651,13,True
192,627,13,True
181,635,13,True
192,656,13,True
165,618,11,True
173,608,12,True
174,603,12,True
201,921,18,True
399,1441,31,True
167,704,27,True
320,1222,27,True
182,638,22,True
171,636,13,True
159,615,12,True
166,614,13,True
160,619,13,True
174,605,13,True
163,619,13,True
163,622,13,True
167,665,14,True
151,608,11,True
175,633,12,True
161,614,13,True
254,1018,20,True
204,829,17,True
142,621,14,True
163,626,13,True
157,602,12,True
202,765,15,True
162,640,13,True
418,1558,32,True
154,608,13,True
167,603,13,True
166,614,13,True
172,646,14,True
172,623,13,True
168,614,13,True
159,606,13,True
161,620,13,True
225,862,19,True
168,643,14,True
148,602,14,True
164,632,13,True
169,618,13,True
170,627,13,True
174,620,12,True
170,623,13,True
170,634,13,True
180,651,13,True
171,608,13,True
179,642,13,True
241,926,19,True
224,1016,20,True
146,614,12,True
158,618,13,True
159,629,13,True
155,634,14,True
291,1148,22,True
162,607,13,True
173,648,14,True
171,613,13,True
178,644,14,True
185,653,13,True
176,619,11,True
173,621,12,True
190,633,13,True
180,617,13,True
182,622,13,True
154,609,13,True
180,640,14,True
296,1060,23,True
147,620,13,True
166,612,13,True
186,652,14,True
166,644,13,True
162,609,12,True
173,647,14,True
168,607,12,True
183,639,14,True
180,607,14,True
187,655,14,True
153,610,12,True
170,636,13,True
193,619,13,True
199,737,14,True
172,637,14,True
183,628,13,True
172,633,13,True
169,601,13,True
154,604,12,True
160,611,12,True
193,644,14,True
182,610,13,True
164,611,12,True
166,604,13,True
168,618,14,True
123,615,10,False
171,613,14,True
176,617,14,True
168,634,12,True
182,634,13,True
168,617,13,True
158,631,13,True
165,636,15,True
165,625,13,True
163,615,13,True
176,632,14,True
148,616,12,True
166,654,14,True
170,614,13,True
157,610,12,True
170,625,13,True
155,615,12,True
173,602,13,True
163,621,13,True
160,604,13,True
177,647,13,True
160,621,13,True
161,629,13,True
158,601,13,True
165,611,13,True
169,634,13,True
169,618,14,True
447,1767,37,True
307,1204,24,True
154,751,14,True
161,607,12,True
173,606,13,True
166,618,13,True
162,621,11,True
159,618,12,True
153,603,13,True
170,621,13,True
165,628,14,True
149,605,12,True
161,620,13,True
155,604,12,True
164,608,13,True
172,624,13,True
162,621,12,True
198,782,15,True
159,629,13,True
171,633,13,True
174,625,13,True
172,621,12,True
173,645,13,True
159,642,12,True
157,633,14,True
170,649,13,True
154,614,13,True
164,616,13,True
172,625,13,True
154,611,14,True
166,609,14,True
163,616,13,True
144,610,13,True
260,991,21,True
183,682,15,True
165,611,13,True
159,641,14,True
163,611,14,True
180,635,14,True
179,639,15,True
165,625,14,True
164,631,14,True
176,636,13,True
314,1135,25,True
235,1039,21,True
164,615,13,True
175,636,13,True
171,647,14,True
166,640,14,True
163,626,14,True
164,641,14,True
182,638,13,True
171,609,12,True
172,617,13,True
164,625,13,True
159,607,12,True
164,609,13,True
157,629,13,True
156,606,13,True
168,640,13,True
159,617,12,True
157,614,13,True
168,625,13,True
153,634,12,True
167,636,13,True
160,611,13,True
151,607,13,True
165,634,14,True
161,626,13,True
155,609,13,True
172,646,14,True
169,691,14,True
157,602,13,True
204,792,16,True
159,611,13,True
169,635,13,True
170,627,14,True
169,642,14,True
152,623,13,True
217,881,17,True
144,612,13,True
149,625,13,True
149,611,13,True
164,627,14,True
192,779,17,True
224,1088,22,True
193,722,29,True
219,863,17,True
158,647,16,True
167,645,15,True
157,618,14,True
159,623,14,True
153,610,15,True
147,609,12,True
162,605,13,True
157,619,14,True
162,646,16,True
157,611,13,True
165,629,12,True
161,613,14,True
177,650,15,True
163,610,14,True
162,601,13,True
152,643,14,True
202,765,18,True
165,642,14,True
183,622,11,True
185,613,15,True
181,608,15,True
178,603,13,True
167,630,15,True
176,608,14,True
378,1440,26,True
160,619,13,True
113,611,11,False
180,640,14,True
169,610,13,True
166,635,14,True
165,634,14,True
179,638,14,True
160,601,15,True
165,611,13,True
178,614,12,True
182,658,13,True
179,617,15,True
178,646,12,True
172,602,15,True
182,658,15,True
173,616,14,True
158,604,11,True
175,668,10,True
161,602,11,True
158,609,13,True
170,603,12,True
171,630,13,True
174,620,15,True
166,637,13,True
158,627,13,True
183,617,16,True
173,611,13,True
163,622,12,True
153,620,13,True
168,629,13,True
168,637,13,True
181,643,14,True
174,611,13,True
168,622,12,True
181,644,13,True
153,606,12,True
177,611,14,True
159,601,13,True
185,628,14,True
161,602,14,True
177,622,14,True
170,644,13,True
175,630,13,True
161,627,12,True
176,652,14,True
175,631,14,True
163,626,13,True
160,641,13,True
212,766,17,True
162,636,14,True
163,634,13,True
178,635,13,True
245,1073,21,True
192,665,15,True
