n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
85,85,331,7,False,False
100,96,317,7,False,False
83,88,318,7,False,False
91,90,301,8,False,False
94,91,334,7,False,False
103,100,334,8,False,False
88,88,303,8,False,False
86,89,306,6,False,False
107,108,321,8,False,False
104,106,354,8,False,False
95,97,360,7,False,False
92,92,321,7,False,False
96,96,331,7,False,False
86,91,336,7,False,False
84,86,301,8,False,False
90,92,314,7,False,False
92,92,310,7,False,False
87,96,329,8,False,False
105,101,322,7,False,False
101,94,332,7,False,False
96,99,311,8,False,False
93,89,340,7,False,False
106,102,337,9,False,False
89,94,311,6,False,False
81,86,301,7,False,False
622,575,1765,43,True,True
104,100,327,8,False,False
175,91,499,8,True,False
83,82,302,6,False,False
98,96,342,7,False,False
85,86,319,8,False,False
102,104,340,7,False,False
97,97,345,7,False,False
86,86,325,8,False,False
86,91,307,7,False,False
97,99,328,9,False,False
82,82,302,7,False,False
83,85,302,7,False,False
98,97,351,8,False,False
92,99,320,7,False,False
90,91,323,8,False,False
92,90,320,7,False,False
88,90,315,7,False,False
98,98,341,9,False,False
91,95,337,7,False,False
96,99,308,7,False,False
89,88,312,8,False,False
86,85,310,7,False,False
92,95,303,7,False,False
91,92,301,7,False,False
90,93,335,8,False,False
99,97,344,7,False,False
97,95,344,8,False,False
100,100,308,8,False,False
92,91,321,7,False,False
99,98,329,7,False,False
86,86,312,7,False,False
92,94,318,7,False,False
101,105,341,8,False,False
90,87,316,7,False,False
90,87,303,7,False,False
89,88,303,7,False,False
110,112,349,8,False,False
92,91,316,8,False,False
105,101,337,8,False,False
101,101,305,7,False,False
90,89,303,7,False,False
109,103,349,8,False,False
106,103,330,7,False,False
93,93,325,6,False,False
94,96,311,6,False,False
93,95,312,7,False,False
110,110,345,8,False,False
92,95,312,7,False,False
109,112,347,8,False,False
106,99,313,7,False,False
100,103,340,8,False,False
96,96,348,9,False,False
105,106,340,7,False,False
102,106,332,7,False,False
107,105,321,7,False,False
126,116,339,8,False,False
101,101,341,7,False,False
91,89,323,7,False,False
97,98,345,8,False,False
99,97,339,7,False,False
104,103,326,9,False,False
95,94,326,8,False,False
99,94,316,8,False,False
104,108,353,7,False,False
89,87,301,8,False,False
87,87,319,8,False,False
105,100,331,7,False,False
110,112,339,9,False,False
101,101,346,7,False,False
96,98,326,7,False,False
81,83,303,7,False,False
101,96,308,7,False,False
96,95,322,8,False,False
94,89,306,8,False,False
86,90,314,7,False,False
76,84,331,7,False,False
93,97,367,6,False,False
90,101,349,6,False,False
75,77,331,5,False,False
94,95,339,6,False,False
79,90,320,6,False,False
73,81,313,6,False,False
175,91,499,8,True,False
104,116,395,12,False,False
133,142,411,15,True,True
84,87,319,8,False,False
94,96,343,7,False,False
100,96,336,7,False,False
88,89,307,6,False,False
94,99,334,7,False,False
81,82,311,7,False,False
85,84,320,7,False,False
96,103,351,8,False,False
88,87,313,7,False,False
83,84,315,6,False,False
83,88,310,7,False,False
102,103,353,8,False,False
95,97,301,7,False,False
88,86,301,6,False,False
91,92,326,8,False,False
92,92,345,7,False,False
85,88,320,7,False,False
97,97,337,9,False,False
93,93,347,7,False,False
98,99,340,7,False,False
95,97,343,7,False,False
102,100,350,7,False,False
87,94,350,7,False,False
231,246,893,19,True,True
212,205,731,15,True,True
350,366,1317,29,True,True
425,431,1395,30,True,True
145,158,540,16,True,True
77,81,317,7,False,False
175,91,499,8,True,False
87,95,305,8,False,False
97,100,328,7,False,False
98,98,327,7,False,False
87,88,320,7,False,False
85,88,324,6,False,False
82,84,308,7,False,False
91,94,315,7,False,False
101,97,305,7,False,False
96,97,345,7,False,False
88,88,313,8,False,False
86,88,332,7,False,False
90,88,305,7,False,False
88,91,322,7,False,False
98,96,329,8,False,False
83,84,321,7,False,False
87,91,321,7,False,False
90,91,327,7,False,False
88,87,337,7,False,False
91,88,317,9,False,False
86,88,306,7,False,False
85,88,318,7,False,False
88,91,312,6,False,False
103,99,340,7,False,False
98,99,350,7,False,False
94,98,356,6,False,False
93,98,329,5,False,False
105,101,330,5,False,False
98,96,331,5,False,False
100,101,336,5,False,False
90,98,330,5,False,False
89,91,325,7,False,False
92,96,310,8,False,False
85,90,308,7,False,False
85,88,310,7,False,False
78,82,303,7,False,False
87,92,322,7,False,False
82,91,319,7,False,False
85,98,316,10,False,False
99,103,357,7,False,False
92,95,335,8,False,False
87,87,308,6,False,False
97,101,327,7,False,False
91,92,317,7,False,False
91,90,314,7,False,False
88,92,317,7,False,False
91,91,320,7,False,False
383,390,1301,29,True,True
95,97,398,11,False,False
99,102,402,10,False,False
154,151,482,11,True,True
150,151,515,11,True,True
180,183,686,15,True,True
93,102,351,8,False,False
83,85,313,6,False,False
90,94,314,7,False,False
92,91,330,7,False,False
91,90,325,7,False,False
93,94,338,7,False,False
98,99,345,7,False,False
94,93,331,7,False,False
91,92,304,8,False,False
93,95,338,7,False,False
102,99,330,7,False,False
184,97,510,9,True,False
83,84,302,7,False,False
79,80,304,7,False,False
87,87,313,6,False,False
101,96,330,7,False,False
92,97,348,8,False,False
87,93,332,7,False,False
81,84,319,7,False,False
87,86,330,7,False,False
83,84,322,7,False,False
81,83,316,7,False,False
91,93,340,7,False,False
85,85,314,7,False,False
91,92,346,7,False,False
130,134,475,10,True,True
82,95,343,9,False,False
105,107,360,8,False,False
101,100,341,8,False,False
98,96,328,6,False,False
84,87,304,5,False,False
98,98,332,6,False,False
103,98,301,7,False,False
98,96,319,6,False,False
97,98,320,8,False,False
94,90,301,7,False,False
100,97,306,7,False,False
110,114,326,8,False,False
102,100,321,7,False,False
98,98,322,7,False,False
95,95,332,6,False,False
99,97,332,5,False,False
89,91,338,5,False,False
86,87,308,6,False,False
92,93,334,7,False,False
