n_tokens,n_chars,n_lines,valid_chunk
181,603,12,True
288,921,18,True
439,1441,31,True
173,704,27,True
329,1222,27,True
187,638,22,True
174,636,13,True
166,615,12,True
170,614,13,True
166,619,13,True
181,605,13,True
168,619,13,True
173,622,13,True
179,665,14,True
159,608,11,True
179,633,12,True
167,614,13,True
262,1018,20,True
216,829,17,True
142,621,14,True
166,626,13,True
167,602,12,True
217,765,15,True
174,640,13,True
425,1558,32,True
155,608,13,True
167,603,13,True
170,614,13,True
178,646,14,True
179,623,13,True
178,614,13,True
160,606,13,True
163,620,13,True
230,862,19,True
177,643,14,True
150,602,14,True
177,632,13,True
171,618,13,True
174,627,13,True
180,620,12,True
174,623,13,True
171,634,13,True
188,651,13,True
173,608,13,True
186,642,13,True
262,926,19,True
322,1016,20,True
153,614,12,True
165,618,13,True
162,629,13,True
160,634,14,True
306,1148,22,True
170,607,13,True
178,648,14,True
186,613,13,True
197,644,14,True
182,653,13,True
184,619,11,True
173,621,12,True
195,633,13,True
194,617,13,True
195,622,13,True
165,609,13,True
194,640,14,True
319,1060,23,True
152,620,13,True
169,612,13,True
195,652,14,True
172,644,13,True
172,609,12,True
175,647,14,True
180,607,12,True
188,639,14,True
182,607,14,True
194,655,14,True
154,610,12,True
176,636,13,True
203,619,13,True
207,737,14,True
173,637,14,True
187,628,13,True
181,633,13,True
179,601,13,True
162,604,12,True
171,611,12,True
205,644,14,True
196,610,13,True
176,611,12,True
172,604,13,True
170,618,14,True
210,615,10,True
176,613,14,True
181,617,14,True
173,634,12,True
191,634,13,True
168,617,13,True
170,631,13,True
172,636,15,True
165,625,13,True
166,615,13,True
179,632,14,True
157,616,12,True
172,654,14,True
175,614,13,True
165,610,12,True
173,625,13,True
157,615,12,True
177,602,13,True
163,621,13,True
160,604,13,True
179,647,13,True
166,621,13,True
164,629,13,True
161,601,13,True
176,611,13,True
173,634,13,True
175,618,14,True
457,1767,37,True
327,1204,24,True
244,751,14,True
167,607,12,True
178,606,13,True
174,618,13,True
168,621,11,True
166,618,12,True
157,603,13,True
175,621,13,True
176,628,14,True
162,605,12,True
164,620,13,True
164,604,12,True
174,608,13,True
180,624,13,True
166,621,12,True
208,782,15,True
163,629,13,True
173,633,13,True
178,625,13,True
179,621,12,True
179,645,13,True
167,642,12,True
159,633,14,True
183,649,13,True
157,614,13,True
183,616,13,True
184,625,13,True
162,611,14,True
175,609,14,True
180,616,13,True
147,610,13,True
271,991,21,True
196,682,15,True
176,611,13,True
163,641,14,True
165,611,14,True
184,635,14,True
181,639,15,True
167,625,14,True
169,631,14,True
182,636,13,True
341,1135,25,True
323,1039,21,True
167,615,13,True
178,636,13,True
181,647,14,True
172,640,14,True
168,626,14,True
170,641,14,True
180,638,13,True
180,609,12,True
175,617,13,True
165,625,13,True
159,607,12,True
175,609,13,True
168,629,13,True
166,606,13,True
181,640,13,True
165,617,12,True
161,614,13,True
169,625,13,True
158,634,12,True
173,636,13,True
167,611,13,True
160,607,13,True
178,634,14,True
162,626,13,True
159,609,13,True
