n_tokens,n_chars,n_lines,valid_chunk
294,1013,21,True
270,973,22,True
93,327,7,False
273,974,25,True
294,1006,25,True
208,755,17,True
259,775,26,True
154,674,18,True
280,1005,15,True
102,366,6,False
3,12,1,False
264,955,17,True
278,1008,17,True
282,978,18,True
78,291,6,False
101,330,10,False
253,957,17,True
268,985,15,True
260,990,15,True
278,988,16,True
85,319,5,False
113,566,13,False
272,1011,17,True
271,998,18,True
58,206,6,False
262,996,17,True
287,977,17,True
91,342,6,False
3,13,1,False
306,1017,20,True
266,963,18,True
163,573,11,True
21,92,2,False
278,1004,19,True
261,999,16,True
283,1006,19,True
265,992,21,True
269,992,21,True
265,997,22,True
268,1000,21,True
131,563,11,True
17,54,4,False
300,1011,20,True
166,609,10,True
7,32,1,False
272,1012,24,True
292,1006,21,True
279,1004,21,True
294,997,22,True
299,990,22,True
136,487,10,True
125,602,13,False
280,1009,22,True
285,1014,22,True
295,1017,22,True
174,597,13,True
18,61,4,False
271,1017,21,True
22,65,4,False
279,1006,23,True
295,1020,22,True
272,998,22,True
209,758,16,True
258,871,18,True
288,990,23,True
277,961,18,True
295,1006,24,True
295,1019,22,True
91,339,7,False
99,413,14,False
293,962,17,True
113,383,8,False
205,781,25,True
112,360,11,False
287,1001,22,True
143,477,14,True
302,994,21,True
289,1000,23,True
285,991,21,True
277,1003,22,True
43,138,3,False
8,34,1,False
285,1003,20,True
280,991,21,True
282,982,23,True
294,1011,21,True
72,241,5,False
221,819,22,True
229,824,23,True
274,998,28,True
168,613,17,True
265,959,15,True
286,1019,20,True
305,1014,19,True
284,939,16,True
7,31,1,False
242,984,22,True
212,772,17,True
249,1009,25,True
258,972,20,True
291,1001,19,True
285,995,18,True
297,1009,20,True
308,998,20,True
66,220,5,False
9,24,1,False
293,986,22,True
271,981,19,True
270,958,20,True
270,990,19,True
266,976,17,True
291,1001,19,True
276,981,16,True
289,1016,17,True
292,1009,16,True
78,305,5,False
21,65,4,False
308,1004,18,True
308,1007,19,True
297,1019,16,True
23,80,2,False
6,24,1,False
298,993,17,True
272,1007,21,True
14,46,4,False
287,976,20,True
300,993,18,True
66,216,4,False
201,731,22,True
132,462,14,True
292,991,22,True
290,984,23,True
283,1003,20,True
304,1004,20,True
300,995,23,True
287,979,20,True
309,1020,22,True
49,189,4,False
115,561,13,False
284,965,18,True
103,343,7,False
4,13,1,False
270,980,16,True
295,966,19,True
284,1002,21,True
295,978,17,True
303,1019,23,True
287,976,18,True
297,1011,17,True
264,975,17,True
270,985,16,True
168,588,10,True
273,981,32,True
91,321,12,False
303,1008,22,True
224,795,16,True
114,393,14,False
255,1010,21,True
62,264,4,False
3,12,1,False
280,996,21,True
292,996,22,True
269,992,22,True
297,1003,23,True
282,973,21,True
195,718,14,True
245,998,24,True
305,973,21,True
285,964,18,True
155,546,9,True
68,248,10,False
246,889,19,True
265,933,19,True
259,987,16,True
277,992,16,True
47,157,3,False
6,23,1,False
301,996,24,True
304,991,18,True
121,391,8,False
107,353,12,False
276,891,23,True
238,820,22,True
98,344,11,False
277,983,19,True
184,664,14,True
7,27,1,False
290,1022,19,True
304,1005,17,True
308,988,16,True
225,740,12,True
16,45,1,False
264,1006,22,True
139,605,14,True
139,507,14,True
274,979,21,True
271,962,20,True
201,680,12,True
285,995,16,True
92,291,5,False
214,914,25,True
225,859,31,True
316,988,23,True
299,994,23,True
294,1002,24,True
303,1019,23,True
311,998,23,True
287,992,22,True
310,1007,23,True
193,588,15,True
22,87,5,False
289,1002,23,True
265,949,21,True
4,23,1,False
289,983,20,True
274,992,19,True
260,981,19,True
204,639,16,True
128,624,16,True
301,1008,21,True
290,1013,21,True
69,240,5,False
4,23,1,False
289,977,20,True
294,985,20,True
310,1022,23,True
223,780,18,True
101,359,14,False
299,1011,19,True
292,1016,21,True
273,1023,20,True
276,979,21,True
265,968,22,True
143,506,11,True
8,25,1,False
306,1018,23,True
311,1005,22,True
277,1012,21,True
307,1013,22,True
310,1009,20,True
212,676,15,True
129,631,16,True
275,961,19,True
316,1010,17,True
303,1022,21,True
83,284,6,False
5,18,1,False
306,957,18,True
60,190,3,False
7,21,1,False
274,999,16,True
293,1010,19,True
275,1000,23,True
248,845,18,True
21,93,5,False
300,1007,22,True
296,1022,22,True
300,1006,20,True
217,744,17,True
5,25,1,False
295,1023,22,True
298,979,20,True
284,1000,22,True
316,992,19,True
248,876,19,True
6,27,1,False
289,1015,21,True
54,188,5,False
117,579,16,False
211,717,21,True
292,1001,21,True
269,981,19,True
270,982,18,True
275,969,20,True
8,38,1,False
308,1003,20,True
164,535,13,True
21,70,5,False
298,1011,22,True
145,458,10,True
5,25,1,False
293,969,19,True
296,979,19,True
47,154,3,False
235,787,27,True
293,1001,17,True
192,692,13,True
7,17,1,False
